Revenue_Growth_Volatility,Liabilities_to_Assets_Ratio,Operating_Margin_%,Net_Profit_Margin_%,Asset_Turnover_Ratio
-0.9754916966365345,0.3377375323868617,0.6615263290971088,0.15129342355706601,-0.7549624711657801
-0.12905769916773452,1.1802449411286626,-0.17237527093742666,-0.12196329334716442,2.9022351071112165
0.1568526117384577,-1.5094479242182914,0.9784864935541366,0.13341501776705444,0.4888602231975419
0.6189862345121654,1.4163787914173147,-0.13687855587647266,-0.052713681734100154,0.321431324475869
-0.3244428609981464,1.3270345937987484,-0.0544125723770673,-0.08416300883325026,0.08468946917292108
0.1805502850168062,-1.6239449885936221,0.27262843305413836,0.21211481982622463,-0.27978413447180134
0.2047374628819574,-1.250731153712432,0.3965823790477594,-0.0036773678764533088,-0.800858778098335
1.958226855104919,-0.08922003907111233,-3.091169089664913,-2.552997839243734,-0.9240499159464828
1.6747669473613116,0.016777739490205994,0.8430141047904245,2.3131642910312733,-0.9348760428302301
-1.184942116888967,-0.1204092919615743,0.05317428423344923,-0.03868819159399005,-0.12262900021000551
-1.1997384488772258,-0.13658346282531061,0.22959474378364883,0.11845630257642854,0.3220908089289415
-0.9804475740470076,0.45216326216055786,0.01982872129521387,-0.0742404721293544,-0.3021465901638531
